,,,,,,需要的素材,裝備...,需要的數據
章,名稱,節,名稱,經驗值,經驗值(不同),任務需求,物品報酬,備註1
1,混沌的序幕,1,陌生的街道與人群,30,,,,
,,2,斯特列兄妹,80,,,,
,,3,魔像暴動,730,,,,
,,4,智慧女神,2050,,,,
,,5,湧龍穴,4700,,,,
,,6,廢棄的寺院,9330,,,,
,,7,最初的魔石,16700,,,,
,,8,滅帳香,27900,,"妖精翅膀#3
厚鳥啄#3
植物藤蔓#3",,
,,9,龍與黑色結晶,43000,,,,
2,神聖晶石騷動記,1,不請自來的商人女孩,64000,,,,
,,2,尋找神聖晶石,92000,,,,
,,3,神秘的黑騎士,118200,,,,
,,4,新月鬼殿的試煉,149000,,,,
,,5,月之魔導師,172000,,,,
,,6,敬之，恨之,227000,,,,
,,7,魔導士的洞穴,240000,,,,
,,8,星之魔導士,255000,,,,
3,舊神之戰,1,最強大的勁敵??,270000,,,,
,,2,上古女帝,284000,,,,
,,3,襲擊犯的真面目,319000,,,,
,,4,堡壘的存亡,335000,,,,
,,5,回憶於消失的城鎮,398000,,"鋸齒#10
薩哈姆水晶#5
靈氣寶石#1",,
,,6,被奪走的聖魔晶石,417000,,,,
,,7,與龍群居的人民,462000,,,,
,,8,來自異界的異形,540000,,,,
4,新的黑影,1,魔法族人迪魯,562000,,,,
,,2,流離只為再興,585000,,,,
,,3,阿卡克的聖寶石,710000,,,阿卡克之花,
,,4,達魯剛國王,740000,,"mob:
鬱金#30
小怪#30",,
,,5,暗雲湧動的處理廠,803000,,,,
,,6,捉捕冒牌黑騎士！,913000,,,,前往鄧肯峽谷
,,7,泰尼斯塔初現,1000000,,,,
,,8,飄零的死亡之羽,1100000,,"mob:
燭光怪#10
佛波偲#10",,
5,席捲黑暗的風暴,1,未知的黑暗中,1150000,,,,
,,2,符咒的下落,1310000,,,,
,,3,乾涸的暗之鏡,1370000,,,,
,,4,激戰昇華觀園,1550000,,,,
,,5,照射黑暗之光,1750000,,,,
,,6,盤據暗之館的怪物,1970000,,,,
,,7,暗之城,2210000,,,,
,,8,前往眾生世界,2220000,,,,
6,兩派泰尼斯塔,1,戴米馬其納,2600000,,,,
,,2,和平派城鎮,2700000,,,,
,,3,機關亦有心,2800000,,,,
,,4,激進派黑騎士,2820000,,,,
,,5,神秘遺物,3030000,,,,
,,6,遺物真相,3099000,,,,
,,7,背叛的代價,3320000,,,,
,,8,褻瀆生命的工廠,3640000,,,,
,,9,黑騎士之謎,4020000,,,,
7,動亂的阿爾堤玫亞,1,怪物之森,4730000,,,,
,,2,游擊隊的地下城市,4820000,,,,
,,3,激進派領地內的艾路菲族,5070000,,,,
,,4,瘋狂的研究所,5500000,,,,
,,5,監獄裡的慘況,6000000,,,,
,,6,多洛馬廣場的慘劇,6400000,,,,
,,7,前往阿爾堤玫亞宮殿,6900000,,,,
,,8,混沌真相,7400000,,,,
8,通往艾路登波姆之戰,1,怪物棲息的礦道,8400000,,,,
,,2,神秘人影,8500000,,,,
,,3,迪魯族的新國度,8600000,,,,
,,4,眾神遺跡之處,8800000,,洛庫庫葡萄#5,,
,,5,前代正義之神,9100000,,,,
,,6,留在神殿的寶座,9700000,,,,
,,7,眾神之所在,10400000,,,,
,,8,種子神殿內的等待者,11100000,,,,
,,9,冰雪中的守衛,11800000,,,,
,,10,山脈中的盡頭,12500000,,,,
9,艾路登波姆奪還戰,1,通往艾路登波姆的險路,15800000,,,,
,,2,意外的陷阱,17100000,,,,
