英文
Weapon
Blade Skills
Hard Hit
Astute
Trigger Slash
Rampage
Shut-Out
Meteor Breaker
Lunar Slash
Sonic Blade
Spiral Air
Sword Tempest
Buster Blade
Aura Blade
Sword Mastery
Quick Slash
Sword Techniques
War Cry
Berserk
Gladiate
Swift Attack
Hammer Slam
Cleaving Attack
Storm Blaze
Garde Blade
Orge Slash
Shot Skills
Power Shot
Bullseye
Snipe
Vanquisher
Twin Storm
Retrograde Shot
Arrow Rain
Cross Fire
Moeba Shot
Paralysis Shot
Smoke Dust
Arm Break
Parabola Cannon
Samurai Archery
Shot Mastery
Sneak Attack
Long Range
Quick Draw
Decoy Shot
Fatal Shot
Quick Loader
Element Starter
Piercing Shot
Spread Shot
Hunting Buddy
Magic Skills
Magic: Arrows
Magic: Javelin
Magic: Lances
Magic: Impact
Magic: Finale
Chronos Shift
Magic: Wall
Magic: Blast
Magic: Storm
Magic: Burst
Magic: Magic Cannon
Magic Mastery
Magic Knife
Qadal
Magic: Crash
MP Charge
Chain Cast
Power Wave
Maximizer
Rapid Charge
Magic: Guardian Beam
Enchanted Barriers
Magic: Laser
Spell Calibration
Martial Skills
Smash
Bash
Shell Break
Heavy Smash
Chariot
Abstract Arms
Sonic Wave
Earth Bind
Triple Kick
Rush
Asura Aura
Flash Blink
Martial Mastery
Martial Disciple
Chakra
Energy Control
Aggravate
Strong Chase Attack
Slide
Mountain Press
Seismic Stomp
Spin Sweep
Dual Sword Skills
Dual Sword Mastery
Twin Slash
Spinning Slash
Phantom Slash
Cross Parry
Charging Slash
Shadowstep
Reflex
Flash Blast
Dual Sword Control
God Speed
Shining Cross
Storm Reaper
Saber Aura
Aerial Cut
Lunar Misfortune
Twin Buster Blade
Crescent Saber
Sting Blade
Aerial Slay
Horizon Cut
Halberd Skills
Flash Stab
Dragon Tooth
Draconic Charge
Cannon Spear
Dragon Tail
Dive Impact
Deadly Spear
Strike Stab
Chronos Drive
Infinite Dimension
Punish Ray
Halberd Mastery
Critical Spear
Tornado Lance
Quick Aura
War Cry of Struggle
Godspeed Wield
Almighty Wield
Buster Lance
Blitz Spike
Lighting Hail
Thor's Hammer
